RH (%),radial deformation,radial deformation uncertainty,axial deformation,axial deformation uncertainty
0,1,0,1,0
10,1.01925,0.00538,1.00435,0.000332
40,1.042,0.01517,1.011225,0.000723
60,1.058,0.01364,1.01362,0.000624
90,1.1065,0.01258,1.01645,0.000835
