RH(%),Strain(%)
5.749293119698397, -18.436578171091444
8.953817153628652, -18.141592920353983
14.137606032045237, -17.51474926253687
21.489161168708765, -16.924778761061948
28.46371347785109, -15.966076696165189
35.81526861451461, -15.376106194690266
42.41281809613572, -14.749262536873154
49.48162111215835, -14.15929203539823
56.07917059377945, -13.532448377581119
62.582469368520265, -12.610619469026549
69.08576814326108, -11.393805309734514
74.92931196983977, -10.140117994100294
80.77285579641848, -8.591445427728612
90.00942507068802, -3.6873156342182885
93.30819981149858, -0.5899705014749266
95.00471253534403, 0.03687315634218358
